年度,チーム,選手名,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
2005,読売ジャイアンツ,*,阿部　慎之助,130,534,476,56,143,16,0,26,237,86,0,2,0,6,51,4,1,78,15,0.3,0.498,0.365
2005,読売ジャイアンツ,,岩舘　学,14,20,18,2,2,0,0,0,2,1,0,0,0,0,2,0,0,8,1,0.111,0.111,0.2
2005,読売ジャイアンツ,,上原　浩治,27,60,52,1,4,0,0,0,4,0,0,0,8,0,0,0,0,12,1,0.077,0.077,0.077
2005,読売ジャイアンツ,*,内海　哲也,26,28,27,1,3,0,0,0,3,0,0,0,1,0,0,0,0,17,0,0.111,0.111,0.111
2005,読売ジャイアンツ,,江藤　智,81,111,93,7,16,4,0,0,20,4,0,0,0,2,16,0,0,25,3,0.172,0.215,0.288
2005,読売ジャイアンツ,*,岡島　秀樹,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,小田　幸平,31,66,62,4,13,2,0,0,15,5,0,1,3,0,0,0,1,17,1,0.21,0.242,0.222
2005,読売ジャイアンツ,*,亀井　義行,20,45,42,1,6,2,0,0,8,1,0,0,1,0,1,0,1,15,0,0.143,0.19,0.182
2005,読売ジャイアンツ,,鴨志田　貴司,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,*,川中　基嗣,55,101,93,12,26,3,0,5,44,14,1,0,0,0,6,1,2,10,1,0.28,0.473,0.337
2005,読売ジャイアンツ,,キャプラー,38,120,111,11,17,1,1,3,29,6,2,0,0,0,9,0,0,19,4,0.153,0.261,0.217
2005,読売ジャイアンツ,,木佐貫　洋,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,清原　和博,96,375,321,42,68,6,0,22,140,52,0,1,0,3,41,0,10,111,6,0.212,0.436,0.317
2005,読売ジャイアンツ,*,工藤　公康,24,42,41,2,3,1,0,0,4,0,0,0,1,0,0,0,0,21,3,0.073,0.098,0.073
2005,読売ジャイアンツ,,久保　裕也,64,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
2005,読売ジャイアンツ,,黒田　哲史,42,45,43,10,9,1,0,0,10,7,2,0,1,0,1,0,0,11,1,0.209,0.233,0.227
2005,読売ジャイアンツ,,桑田　真澄,12,16,15,0,1,0,0,0,1,1,0,0,0,1,0,0,0,8,0,0.067,0.067,0.063
2005,読売ジャイアンツ,,小久保　裕紀,142,592,524,77,147,25,0,34,274,87,1,1,0,1,62,0,5,114,11,0.281,0.523,0.361
2005,読売ジャイアンツ,*,後藤　孝志,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,後藤　光貴,5,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,*,斉藤　宜之,46,112,108,13,26,4,1,1,35,8,1,1,0,1,2,0,1,11,4,0.241,0.324,0.259
