年度,チーム,,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率
2005,読売ジャイアンツ,,上原　浩治,27,9,12,0,0,0,6,2,4,0.429,747,187,0.1,164,24,22,0,0,145,0,1,73,69,3.31
2005,読売ジャイアンツ,*,内海　哲也,26,4,9,0,1,1,0,0,0,0.308,507,114,0.1,138,18,31,0,4,76,5,0,74,64,5.04
2005,読売ジャイアンツ,*,岡島　秀樹,42,1,0,0,1,2,0,0,0,1,231,53,,55,10,19,0,4,56,1,0,31,28,4.75
2005,読売ジャイアンツ,,鴨志田　貴司,5,0,0,0,0,0,0,0,0,0,32,7,,10,0,1,0,0,6,0,0,4,4,5.14
2005,読売ジャイアンツ,,木佐貫　洋,14,0,1,5,0,0,0,0,0,0,56,13,0.2,13,1,3,0,0,17,0,0,6,6,3.95
2005,読売ジャイアンツ,*,工藤　公康,24,11,9,0,0,0,1,0,0,0.55,595,136,,159,26,44,3,1,130,4,0,73,71,4.7
2005,読売ジャイアンツ,,久保　裕也,64,7,4,7,17,24,0,0,0,0.636,346,78,0.2,82,8,27,10,7,67,3,0,32,30,3.43
2005,読売ジャイアンツ,,桑田　真澄,12,0,7,0,0,0,0,0,0,0,238,49,0.2,65,7,23,2,5,34,4,0,43,40,7.25
2005,読売ジャイアンツ,,後藤　光貴,5,0,2,0,0,0,0,0,0,0,72,15,,22,0,6,0,4,9,2,0,16,16,9.6
2005,読売ジャイアンツ,,酒井　順也,9,0,1,0,0,0,0,0,0,0,63,13,,23,6,3,0,0,7,1,0,16,16,11.08
2005,読売ジャイアンツ,*,佐藤　宏志,20,0,1,0,7,7,0,0,0,0,91,18,0.1,29,4,7,0,0,17,0,0,14,14,6.87
2005,読売ジャイアンツ,,真田　裕貴,4,1,0,0,0,1,0,0,0,1,41,7,0.2,14,1,3,0,2,1,2,0,9,8,9.39
2005,読売ジャイアンツ,,シコースキー,70,7,1,0,14,21,0,0,0,0.875,367,87,0.2,75,4,33,2,3,100,4,0,33,32,3.29
2005,読売ジャイアンツ,,條辺　剛,4,0,1,0,0,0,0,0,0,0,24,5,0.1,7,2,0,0,1,1,1,0,4,4,6.75
2005,読売ジャイアンツ,*,高橋　尚成,27,8,12,0,1,1,4,2,0,0.4,695,163,,171,18,48,1,4,135,1,0,88,81,4.47
2005,読売ジャイアンツ,,伊達　昌司,7,0,0,0,0,0,0,0,0,0,37,7,0.1,15,1,1,0,0,5,0,0,8,8,9.82
2005,読売ジャイアンツ,,中村　隼人,6,0,1,0,1,1,0,0,0,0,38,6,0.2,12,0,5,3,1,5,1,0,5,5,6.75
2005,読売ジャイアンツ,,西村　健太朗,12,2,4,0,0,0,0,0,0,0.333,182,39,0.1,54,5,13,0,1,23,2,0,25,25,5.72
2005,読売ジャイアンツ,,野間口　貴彦,9,4,3,0,0,0,1,0,0,0.571,210,47,0.2,51,12,17,0,0,32,2,0,36,35,6.61
2005,読売ジャイアンツ,*,林　昌範,54,2,2,18,15,17,0,0,0,0.5,280,67,,45,6,35,5,2,67,6,1,13,12,1.61
2005,読売ジャイアンツ,*,マレン,22,6,8,0,0,0,1,1,0,0.429,413,94,,118,14,29,0,2,80,2,0,70,65,6.22
2005,読売ジャイアンツ,*,前田　幸長,50,0,0,0,9,9,0,0,0,0,269,62,,67,9,18,6,1,58,2,0,35,32,4.65
2005,読売ジャイアンツ,,ミアディッチ,15,0,0,0,0,0,0,0,0,0,101,21,0.1,22,3,14,1,1,29,4,1,17,17,7.17
2005,読売ジャイアンツ,,ミセリ,4,0,2,0,0,0,0,0,0,0,19,2,0.2,9,3,2,1,0,3,1,0,7,7,23.63
2005,読売ジャイアンツ,,三木　均,4,0,0,0,0,0,0,0,0,0,25,4,,7,0,6,0,1,3,0,0,5,5,11.25
2005,阪神タイガース,,安藤　優也,24,11,5,0,0,0,3,0,2,0.688,592,146,,142,15,25,0,7,119,2,0,56,55,3.39
2005,阪神タイガース,*,井川　慶,27,13,9,0,0,0,2,1,1,0.591,749,172,0.1,199,23,60,0,1,145,4,0,91,74,3.86
2005,阪神タイガース,*,ウィリアムス,75,3,3,0,37,40,0,0,0,0.5,311,76,0.2,58,4,24,2,2,90,0,0,20,18,2.11
2005,阪神タイガース,*,江草　仁貴,51,4,3,0,6,10,0,0,0,0.571,306,70,0.2,65,4,28,3,2,74,7,0,24,21,2.67
2005,阪神タイガース,,久保田　智之,68,5,4,27,3,8,0,0,0,0.556,330,80,0.2,73,8,15,2,2,97,5,0,20,19,2.12
2005,阪神タイガース,*,佐久本　昌広,1,0,0,0,0,0,0,0,0,0,8,1,,4,0,1,0,0,0,0,0,4,4,36
2005,阪神タイガース,,桟原　将司,26,1,0,0,1,2,0,0,0,1,169,39,0.1,40,6,12,0,3,35,1,0,20,16,3.66
2005,阪神タイガース,*,下柳　剛,24,15,3,0,0,0,1,0,0,0.833,531,132,0.1,125,11,25,1,6,90,0,0,44,44,2.99
2005,阪神タイガース,,杉山　直久,23,9,6,0,0,0,1,1,0,0.6,568,134,0.2,131,12,39,0,11,103,9,0,51,44,2.94
2005,阪神タイガース,,ダーウィン,4,0,1,0,0,0,0,0,0,0,45,10,0.2,11,4,3,0,0,12,0,0,7,7,5.91
2005,阪神タイガース,,太陽,4,1,1,0,0,0,0,0,0,0.5,54,12,,16,4,3,0,0,4,0,0,9,8,6
2005,阪神タイガース,*,筒井　和也,1,0,0,0,0,0,0,0,0,0,16,3,,4,1,3,0,1,4,0,0,2,2,6
2005,阪神タイガース,*,中村　泰広,2,0,0,0,0,0,0,0,0,0,17,3,,3,0,5,0,0,4,0,0,3,3,9
2005,阪神タイガース,*,能見　篤史,16,4,1,0,1,1,1,0,0,0.8,293,64,0.2,78,10,27,0,1,64,3,0,40,40,5.57
2005,阪神タイガース,,橋本　健太郎,51,2,2,1,9,11,0,0,0,0.5,273,66,0.2,47,5,27,0,1,67,8,0,21,17,2.3
2005,阪神タイガース,,ブラウン,11,4,1,0,0,1,0,0,0,0.8,155,33,,44,6,11,1,5,24,0,0,19,19,5.18
2005,阪神タイガース,,福原　忍,28,8,14,0,0,0,3,2,1,0.364,721,171,0.2,172,20,45,0,6,124,3,1,74,67,3.51
2005,阪神タイガース,,藤川　球児,80,7,1,1,46,53,0,0,0,0.875,349,92,0.1,57,5,20,1,1,139,5,0,20,14,1.36
2005,阪神タイガース,*,前川　勝彦,2,0,0,0,0,0,0,0,0,0,19,3,0.2,3,0,5,0,0,2,0,0,1,1,2.45
2005,阪神タイガース,,牧野　塁,2,0,0,0,0,0,0,0,0,0,11,2,,2,2,3,0,0,2,0,0,2,2,9
2005,阪神タイガース,*,吉野　誠,12,0,0,0,1,1,0,0,0,0,40,10,,9,0,4,0,0,9,0,0,5,4,3.6
2005,広島東洋カープ,,天野　浩一,14,0,0,0,0,0,0,0,0,0,82,15,0.1,26,7,9,2,2,9,2,0,22,17,9.98
2005,広島東洋カープ,,梅津　智弘,33,1,1,0,5,6,0,0,0,0.5,136,32,,30,3,12,2,2,18,0,0,12,9,2.53
2005,広島東洋カープ,*,大島　崇行,7,2,2,0,0,0,0,0,0,0.5,130,27,,33,4,16,0,3,22,1,0,25,25,8.33
2005,広島東洋カープ,,大竹　寛,28,10,12,0,0,0,0,0,0,0.455,734,161,0.2,171,22,87,1,7,161,9,4,110,101,5.62
2005,広島東洋カープ,,小山田　保裕,18,6,11,0,0,0,4,2,1,0.353,514,115,0.2,130,17,33,1,9,86,0,0,67,60,4.67
2005,広島東洋カープ,,黒田　博樹,29,15,12,0,0,1,11,1,3,0.556,852,212,0.2,183,17,42,2,7,165,7,0,76,75,3.17
2005,広島東洋カープ,*,小島　紳二郎,2,0,0,0,0,0,0,0,0,0,37,8,,8,1,6,0,0,5,0,0,5,5,5.63
2005,広島東洋カープ,,小林　幹英,2,0,0,0,0,0,0,0,0,0,8,2,0.1,2,1,0,0,0,2,0,0,1,1,3.86
2005,広島東洋カープ,,佐々岡　真司,30,1,6,0,4,5,0,0,0,0.143,246,54,,75,14,19,0,0,37,2,0,44,38,6.33
2005,広島東洋カープ,*,佐竹　健太,50,0,1,0,8,8,0,0,0,0,179,36,0.1,51,6,21,0,1,30,1,0,28,24,5.94
2005,広島東洋カープ,,澤崎　俊和,2,0,0,0,0,0,0,0,0,0,5,1,0.1,1,0,0,0,0,1,0,0,0,0,0
2005,広島東洋カープ,*,高橋　建,14,0,2,0,0,0,0,0,0,0,133,26,0.2,43,7,9,1,1,14,1,0,28,28,9.45
2005,広島東洋カープ,,田中　敬人,14,1,0,0,0,1,0,0,0,1,63,13,,19,2,8,0,1,7,0,0,11,10,6.92
2005,広島東洋カープ,,玉山　健太,1,0,0,0,0,0,0,0,0,0,12,1,0.2,5,0,2,0,0,1,0,0,2,2,10.8
2005,広島東洋カープ,,デイビー,18,6,6,0,0,0,2,0,0,0.5,488,114,0.2,109,10,42,1,8,76,1,0,50,38,2.98
2005,広島東洋カープ,,永川　勝浩,57,3,5,2,14,17,0,0,0,0.375,311,69,,72,2,33,2,3,79,6,0,30,24,3.13
